		embryo_1	embryo_1	embryo_2	embryo_2	embryo_3	embryo_3	embryo_4	embryo_4	embryo_5	embryo_5	embryo_6	embryo_6	embryo_7	embryo_7	embryo_8	embryo_8	embryo_9	embryo_9	embryo_10	embryo_10
gene_id	symbol	blastomere_1	blastomere_2	blastomere_1	blastomere_2	blastomere_1	blastomere_2	blastomere_1	blastomere_2	blastomere_1	blastomere_2	blastomere_1	blastomere_2	blastomere_1	blastomere_2	blastomere_1	blastomere_2	blastomere_1	blastomere_2	blastomere_1	blastomere_2
ENSMUSG00000000001	Gnai3	636194.0	323758.0	61110.7	347426.0	185046.0	215784.0	5687.8	223407.0	49032.9	514287.0	110641.0	9610.8	352280.0	395690.0	1168030.0	245817.0	471027.0	631832.0	521623.0	461924.0
ENSMUSG00000000028	Cdc45	2656900.0	2051170.0	1577030.0	1916220.0	3494380.0	2679180.0	811383.0	1690860.0	2972760.0	2496960.0	2278560.0	2418000.0	1647620.0	2644490.0	3437780.0	2634960.0	2234460.0	2694010.0	1962210.0	1954350.0
ENSMUSG00000000037	Scml2	888693.0	851730.0	498551.0	409081.0	765051.0	463711.0	1062780.0	362748.0	167689.0	1049760.0	532657.0	1176070.0	399284.0	340585.0	230093.0	1036900.0	3630990.0	224862.0	268698.0	238810.0
ENSMUSG00000000049	Apoh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6139.9	29101.4	0.0	0.0	4174.8	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000056	Narf	1503320.0	2162990.0	594578.0	23250.9	817293.0	874624.0	298694.0	23924.7	4283.1	19293.5	23995.0	7757.6	32530.8	1163.0	694.5	1244490.0	738.5	906.0	1007.9	90118.5
ENSMUSG00000000058	Cav2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52643.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000078	Klf6	0.0	0.0	0.0	0.0	0.0	248648.0	88466.3	168715.0	112093.0	146205.0	0.0	0.0	0.0	541.3	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000085	Scmh1	280549.0	1290350.0	240416.0	680690.0	767717.0	620866.0	1154500.0	316835.0	775112.0	661574.0	229961.0	721967.0	72293.1	11525.4	0.0	2945.4	919260.0	18890.2	11920.9	710313.0
ENSMUSG00000000088	Cox5a	356613.0	946136.0	23515.9	661200.0	506304.0	278855.0	617794.0	414199.0	358177.0	357041.0	1494320.0	4543110.0	2977650.0	4051410.0	2001120.0	2604840.0	3591000.0	4827570.0	2570710.0	3359850.0
ENSMUSG00000000093	Tbx2	0.0	0.0	0.0	6560.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000094	Tbx4	94434.0	58094.6	53512.4	1004.1	0.0	10237.6	263063.0	205682.0	2700.4	85986.3	340509.0	7363.5	14622.6	17511.8	50582.5	0.0	0.0	2588.3	0.0	24565.2
ENSMUSG00000000120	Ngfr	0.0	0.0	737.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000127	Fer	172943.0	45708.1	829.7	0.0	0.0	94793.7	280793.0	120182.0	132142.0	118384.0	257915.0	575130.0	193122.0	0.0	366335.0	586809.0	0.0	257655.0	0.0	160193.0
ENSMUSG00000000131	Xpo6	5512960.0	2375120.0	3053210.0	4519740.0	5148170.0	2376130.0	2357170.0	3052580.0	1149930.0	1967860.0	2645870.0	1724330.0	3339650.0	1954490.0	905.2	833313.0	1050520.0	3283580.0	5326610.0	2571940.0
ENSMUSG00000000134	Tfe3	336745.0	411863.0	404625.0	271312.0	28915.5	332833.0	24600.5	115841.0	108198.0	1225390.0	311824.0	12681.1	2189450.0	204890.0	573.5	19559.8	1853.7	593731.0	660997.0	39651.8
ENSMUSG00000000142	Axin2	528775.0	349423.0	563200.0	144542.0	196636.0	240398.0	361651.0	297785.0	255165.0	375101.0	376375.0	506013.0	168046.0	33899.2	259812.0	23264.2	32827.3	82731.1	1582.7	298723.0
ENSMUSG00000000148	Brat1	202671.0	185180.0	1112940.0	137398.0	47160.4	851139.0	577603.0	66403.9	75251.6	403858.0	2449.4	40440.7	356978.0	286013.0	21732.8	48109.1	4850.9	86238.2	66438.0	291210.0
