gene_id	zygote_1	zygote_2	zygote_3	zygote_4	zygote_5	zygote_6	zygote_7	zygote_8	zygote_9
ENSMUSG00000000001	446046	677692	148957	439255	558047	439725	685882	669398	723353
ENSMUSG00000000028	1732810	1814850	1682840	2057770	2292470	2631280	17771.6	3015360	2115880
ENSMUSG00000000037	762538	413501	394429	1100870	442882	587175	443151	675178	817557
ENSMUSG00000000049	0	0	0	0	0	0	0	25628.4	0
ENSMUSG00000000056	206423	106284	145683	130660	177084	1053110	1562970	1159290	377536
ENSMUSG00000000078	34455.5	46145.7	31401.9	128592	28284.2	32959	12379.4	34087.3	8685.97
ENSMUSG00000000085	554599	311402	1016500	1218250	869852	900721	707468	604732	178998
ENSMUSG00000000088	341051	471056	1125110	376738	738174	553838	83795.2	214909	388313
ENSMUSG00000000094	1169630	1189760	915215	1289610	1152050	1131380	404091	1188700	809929
ENSMUSG00000000125	0	7374.62	0	0	0	0	0	0	0
ENSMUSG00000000126	0	0	3000.01	0	0	0	0	0	0
ENSMUSG00000000127	620065	487476	569750	411002	669273	653918	1357.93	502481	557105
ENSMUSG00000000131	1352720	1388880	2566320	1166560	865569	1075090	1125060	2116030	181311
ENSMUSG00000000134	1246000	732541	704187	1437860	616954	413437	121119	536156	1071480
ENSMUSG00000000142	1277110	480352	1532220	819582	756923	1147490	266174	372725	355413
ENSMUSG00000000148	0	0	1195.98	67027.5	7742.23	19972.5	591380	0	4675.29
ENSMUSG00000000149	417008	453173	640140	520077	406183	185081	179647	414952	453063
ENSMUSG00000000159	0	0	0	6.29E-05	0	1.75E-05	0	7.63E-07	0.00310166
ENSMUSG00000000167	28022	33487.4	54967.3	56076.9	56502.1	38213	0	108604	1.87E-286
ENSMUSG00000000168	1687800	2931440	2832490	2034490	3525110	2064090	523501	2752740	2289450
ENSMUSG00000000171	1493200	1854460	1825450	2365200	1215980	1960790	3387.96	1992350	1659630
ENSMUSG00000000183	0	0	0	63353.4	0	78892.3	0	0	0
ENSMUSG00000000184	11582.6	0	0	8053.36	0	0	0	0	0
ENSMUSG00000000194	439566	679800	71012.3	206602	233832	245817	0	347078	0
ENSMUSG00000000197	505.969	1750.49	1873.72	535.681	2885.7	0	0	0	0
ENSMUSG00000000202	2036.06	37214.8	1056.49	0	8305.13	0	0	0	0
ENSMUSG00000000214	2204520	1975580	961308	2035650	2756180	2060850	669035	2654580	1569210
ENSMUSG00000000215	306038	195859	999388	510171	331424	0	0	128907	225647
ENSMUSG00000000247	65833.4	207502	88600.5	5649.05	128100	69797.1	302989	25311.3	71575.7
ENSMUSG00000000253	1215430	1670050	934239	1463090	1097150	1784720	0	1097570	698774
ENSMUSG00000000263	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	0	0	0	0	0	0	1358.93	0	0
ENSMUSG00000000275	0	0	0	0	12283.2	0	0	0	0
ENSMUSG00000000276	6917.4	25190.9	90051.6	0	34833.5	26589.8	0	13426.6	28644.7
ENSMUSG00000000278	1256390	1119470	1316750	1270620	1378380	1342240	536768	1494800	1302580
ENSMUSG00000000282	71762.8	83624.7	118629	177765	45737.6	0	0	31381.5	0
ENSMUSG00000000290	0	0	0	2089.01	0	0	0	0	0
ENSMUSG00000000295	129381	494797	104250	323066	252058	43269.7	0	418906	6317.85
ENSMUSG00000000296	462661	385270	510668	424732	453251	228712	0	480441	168706
ENSMUSG00000000301	1898740	3189880	3011280	2783410	645095	1840510	4046660	1122230	1107930
ENSMUSG00000000303	337262	533296	427418	344554	634755	547660	288337	520512	382112
ENSMUSG00000000305	152590	166043	154063	197888	167514	236694	18285	208779	104646
ENSMUSG00000000308	0	0	0	0	0	0	0	0	0
ENSMUSG00000000317	0	0	0	0	10124	0	0	0	0
ENSMUSG00000000318	2580960	3644160	4858940	4012180	2540630	977890	499399	1243500	2787380
ENSMUSG00000000320	333422	501682	579197	373117	355017	324153	0	361826	207737
ENSMUSG00000000325	26923	96345.6	378508	12673.9	49259.8	0	0	0	0
ENSMUSG00000000326	78288	123476	68416.1	118688	100593	147703	51730.9	84432	102730
ENSMUSG00000000339	402500	297382	339973	628940	282099	284188	0	345229	12823.8
ENSMUSG00000000340	79606	40570.5	36775.8	35730.5	46602.4	37480.5	0	19224.8	18070.9
ENSMUSG00000000346	3658870	3618750	2291000	3281130	4113090	4268570	820588	3854770	4399950
